"FMTNAME","START","LABEL"
"msa5yr13X",35980,"Norwich-New London, CT~"
"msa5yr13X",36100,"Ocala, FL"
"msa5yr13X",36140,"Ocean City, NJ"
"msa5yr13X",36220,"Odessa, TX"
"msa5yr13X",36260,"Ogden-Clearfield, UT~"
"msa5yr13X",36420,"Oklahoma City, OK"
"msa5yr13X",36500,"Olympia-Tumwater, WA"
"msa5yr13X",36540,"Omaha-Council Bluffs, NE-IA"
"msa5yr13X",36740,"Orlando-Kissimmee-Sanford, FL"
"msa5yr13X",36780,"Oshkosh-Neenah, WI"
"msa5yr13X",37100,"Oxnard-Thousand Oaks-Ventura, CA"
"msa5yr13X",37340,"Palm Bay-Melbourne-Titusville, FL"
"msa5yr13X",37460,"Panama City, FL~"
"msa5yr13X",37860,"Pensacola-Ferry Pass-Brent, FL"
